Year & Month,Villa,Cont_Code,Job_Code, Rate , Work Order Quantity , UOM , Executed Quantity , Balance Qty , Completion Percentage , Billed , To Release , Current Billed 
Dec-23,V1,CV062,CRG003," 1,000.00 ", 15.11 , CUM , 15.11 , 0.00 , 1.00 ," 15,110.00 ", -   , -   
Dec-23,V1,CV062,RRT001," 7,500.00 ", 0.65 , MT , 0.65 , -   , 1.00 ," 4,875.00 ", -   , -   
Dec-23,V1,CV062,RRT002," 7,500.00 ", 0.75 , MT , 0.75 , -   , 1.00 ," 5,625.00 ", -   , -   
Dec-23,V1,CV062,RRT003," 7,500.00 ", 1.00 , MT , 1.00 , -   , 1.00 ," 7,500.00 ", -   , -   
Dec-23,V1,CV062,RRT004," 7,500.00 ", 0.90 , MT , 0.90 , -   , 1.00 ," 6,750.00 ", -   , -   
Dec-23,V1,CV062,RRT005," 7,500.00 ", 2.80 , MT , 2.80 , -   , 1.00 ," 21,000.00 ", -   , -   
Dec-23,V1,CV047,RRT006," 7,000.00 ", 0.18 , MT , 0.18 , -   , 1.00 ," 1,260.00 ", -   , -   
Dec-23,V1,CV001,RRT007," 7,500.00 ", 0.18 , MT , 0.18 , -   , 1.00 ," 1,350.00 ", -   , -   
Dec-23,V1,CV062,STG001, 301.39 , 50.12 , SQM , 50.12 , -   , 1.00 ," 15,105.77 ", -   , -   
Dec-23,V1,CV062,STG002, 301.39 , 31.67 , SQM , 31.67 , -   , 1.00 ," 9,545.08 ", -   , -   
Dec-23,V1,CV062,STG003, 301.39 , 105.11 , SQM , 105.11 , -   , 1.00 ," 31,679.31 ", -   , -   
Dec-23,V1,CV062,STG004, 301.39 , 59.91 , SQM , 59.91 , -   , 1.00 ," 18,056.39 ", -   , -   
Dec-23,V1,CV062,STG005, 301.39 , 261.41 , SQM , 261.41 , -   , 1.00 ," 78,786.88 ", -   , -   
Dec-23,V1,CV047,STG006, 301.39 , 14.58 , SQM , 14.58 , -   , 1.00 ," 4,394.30 ", -   , -   
Dec-23,V1,CV001,STG007, 301.39 , 18.25 , SQM , 18.25 , -   , 1.00 ," 5,500.40 ", -   , -   
Dec-23,V1,CV062,CRG004, 225.00 , 23.29 , CUM , 23.29 , -   , 1.00 ," 5,240.25 ", -   , -   
Dec-23,V1,CV062,CRG005," 1,500.00 ", 2.62 , CUM , 2.62 , -   , 1.00 ," 3,930.00 ", -   , -   
Dec-23,V1,CV062,CRG006, 900.00 , 7.41 , CUM , 7.41 , -   , 1.00 ," 6,669.00 ", -   , -   
Dec-23,V1,CV062,CRG007," 2,000.00 ", 3.51 , CUM , 3.51 , -   , 1.00 ," 7,020.00 ", -   , -   
Dec-23,V1,CV062,CRG008, 225.00 , 30.02 , CUM , 30.02 , -0.00 , 1.00 ," 6,754.50 ", -   , -   
Dec-23,V1,CV062,CRG009," 2,000.00 ", 1.77 , CUM , 1.77 , 0.00 , 1.00 ," 3,540.00 ", -   , -   
Dec-23,V1,CV001,CRG010," 1,500.00 ", 0.80 , CUM , 0.80 , -   , 1.00 ," 1,200.00 ", -   , -   
Dec-23,V1,CV036,ETL001," 2,000.00 ", 1.00 , LUMP SUM , 1.00 , -   , 1.00 ," 2,000.00 ", -   , -   
Dec-23,V1,CV062,RRT008," 7,500.00 ", 1.00 , MT , 1.00 , -   , 1.00 ," 7,500.00 ", -   , -   
Dec-23,V1,CV062,RRT009," 7,500.00 ", 2.40 , MT , 2.40 , -   , 1.00 ," 18,000.00 ", -   , -   
Dec-23,V1,CV062,RRT010," 7,500.00 ", 0.18 , MT , 0.18 , -   , 1.00 ," 1,350.00 ", -   , -   
Dec-23,V1,CV001,RRT011," 7,500.00 ", 0.20 , MT , 0.20 , -   , 1.00 ," 1,500.00 ", -   , -   
Dec-23,V1,CV062,STG008, 301.39 , 61.40 , SQM , 61.40 , -   , 1.00 ," 18,505.47 ", -   , -   
Dec-23,V1,CV062,STG009, 301.39 , 243.08 , SQM , 243.08 , -   , 1.00 ," 73,262.37 ", -   , -   
Dec-23,V1,CV062,STG010, 301.39 , 14.58 , SQM , 14.58 , -   , 1.00 ," 4,394.30 ", -   , -   
Dec-23,V1,CV001,STG011, 301.39 , 20.55 , SQM , 20.55 , -   , 1.00 ," 6,193.61 ", -   , -   
Dec-23,V1,CV062,CRG011," 2,000.00 ", 3.59 , CUM , 3.59 , 0.00 , 1.00 ," 7,180.00 ", -   , -   
Dec-23,V1,CV062,CRG012, 225.00 , 27.11 , CUM , 27.11 , 0.00 , 1.00 ," 6,099.75 ", -   , -   
Dec-23,V1,CV062,CRG013," 2,000.00 ", 1.77 , CUM , 1.77 , 0.00 , 1.00 ," 3,540.00 ", -   , -   
Dec-23,V1,CV001,CRG014," 1,500.00 ", 1.28 , CUM , 1.28 , 0.00 , 1.00 ," 1,920.00 ", -   , -   
Dec-23,V1,CV047,RRT012," 7,000.00 ", 0.15 , MT , 0.15 , -   , 1.00 ," 1,050.00 ", -   , -   
Dec-23,V1,CV047,RRT013," 7,000.00 ", 0.25 , MT , 0.25 , -   , 1.00 ," 1,750.00 ", -   , -   
Dec-23,V1,CV001,RRT014," 7,000.00 ", 0.04 , MT , 0.04 , -   , 1.00 , 280.00 , -   , -   
Dec-23,V1,CV047,STG012, 301.39 , 8.10 , SQM , 8.10 , -   , 1.00 ," 2,441.28 ", -   , -   
Dec-23,V1,CV047,STG013, 301.39 , 29.38 , SQM , 29.38 , -   , 1.00 ," 8,854.90 ", -   , -   
Dec-23,V1,CV001,STG014, 301.39 , 3.81 , SQM , 3.81 , -   , 1.00 ," 1,148.30 ", -   , -   
Dec-23,V1,CV047,CRG015," 2,000.00 ", 0.61 , CUM , 0.61 , -   , 1.00 ," 1,220.00 ", -   , -   
Dec-23,V1,CV047,CRG016, 225.00 , 2.83 , CUM , 2.83 , 0.00 , 1.00 , 636.75 , -   , -   
Dec-23,V1,CV001,CRG016," 1,500.00 ", 0.22 , CUM , 0.22 , -   , 1.00 , 330.00 , -   , -   
Dec-23,V1,CV047,CRG017, 50.00 , 52.00 , NOS , 52.00 , -   , 1.00 ," 2,600.00 ", -   , -   
Dec-23,V1,CV036,ETL002," 2,000.00 ", 1.00 , LUMP SUM , 1.00 , -   , 1.00 ," 2,000.00 ", -   , -   
Dec-23,V1,CV001,MOY001, 193.75 , 191.86 , SQM , 191.86 , -   , 1.00 ," 37,173.26 ", -   , -   
Dec-23,V1,CV001,MOY002, 193.75 , 203.55 , SQM , 203.55 , -   , 1.00 ," 39,438.22 ", -   , -   
Dec-23,V1,CV001,MOY003, 193.75 , 87.26 , SQM , 87.26 , -   , 1.00 ," 16,906.80 ", -   , -   
Dec-23,V1,CV001,PTG001, 65.60 , 47.70 , RMT , 47.70 , -   , 1.00 ," 3,129.12 ", -   , -   
Dec-23,V1,CV001,PTG002, 65.60 , 64.23 , RMT , 64.23 , -   , 1.00 ," 4,213.49 ", -   , -   
Dec-23,V1,CV001,PTG003, 10.76 , 368.27 , SQM , 368.27 , -   , 1.00 ," 3,962.59 ", -   , -   
Dec-23,V1,CV001,PTG004, 139.93 , 119.78 , SQM , 119.78 , -   , 1.00 ," 16,761.05 ", -   , -   
Dec-23,V1,CV001,PTG005, 139.93 , 267.58 , SQM , 267.58 , -   , 1.00 ," 37,443.00 ", -   , -   
Dec-23,V1,CV001,PTG006, 193.75 , 309.89 , SQM , 309.89 , -   , 1.00 ," 60,041.81 ", -   , -   
Dec-23,V1,CV036,ETL003," 15,000.00 ", 1.00 , LUMP SUM , 1.00 , -   , 1.00 ," 15,000.00 ", -   , -   
Dec-23,V1,CV001,PTG007, 139.93 , 118.32 , SQM , 118.32 , -   , 1.00 ," 16,556.75 ", -   , -   
Dec-23,V1,CV001,PTG008, 139.93 , 366.35 , SQM , 366.35 , -   , 1.00 ," 51,264.09 ", -   , -   
Dec-23,V1,CV001,PTG009, 193.75 , 209.11 , SQM , 209.11 , -   , 1.00 ," 40,515.48 ", -   , -   
Dec-23,V1,CV001,PTG010, 139.93 , 14.10 , SQM , 14.10 , -   , 1.00 ," 1,973.04 ", -   , -   
Dec-23,V1,CV001,PTG011, 139.93 , 37.29 , SQM , 37.29 , -   , 1.00 ," 5,218.06 ", -   , -   
Dec-23,V1,CV001,PTG012, 193.75 , 180.56 , SQM , 180.56 , -   , 1.00 ," 34,983.86 ", -   , -   
Dec-23,V1,CV050,WRG001, 215.28 , 233.93 , SQM , 233.93 , -0.00 , 1.00 ," 50,360.45 ", -   , -   
Dec-23,V1,CV050,WRG002, 215.28 , 58.17 , SQM , 58.17 , 0.00 , 1.00 ," 12,522.84 ", -   , -   
Dec-23,V1,CV050,WRG003, 107.64 , 62.54 , SQM , 62.54 , -0.00 , 1.00 ," 6,731.81 ", -   , -   
Dec-23,V1,CV050,WRG004, 215.28 , 151.65 , SQM , 151.65 , 0.00 , 1.00 ," 32,647.21 ", -   , -   
Dec-23,V1,CV050,WRG005, 107.64 , 62.54 , SQM , 62.54 , -0.00 , 1.00 ," 6,731.81 ", -   , -   
Dec-23,V1,CV050,WRG006, 200.00 , 17.00 , NOS , 17.00 , -   , 1.00 ," 3,400.00 ", -   , -   
Dec-23,V1,CV042,PNG001, 215.28 , 27.32 , SQM , 27.32 , -   , 1.00 ," 5,881.45 ", -   , -   
Dec-23,V1,CV042,PNG002, 96.88 , 147.16 , SQM , 147.16 , -   , 1.00 ," 14,256.86 ", -   , -   
Dec-23,V1,CV042,PNG003, 48.44 , 312.43 , SQM , 312.43 , -   , 1.00 ," 15,133.48 ", -   , -   
Dec-23,V1,CV042,PNG004, 48.44 , 160.99 , SQM , 160.99 , -   , 1.00 ," 7,798.03 ", -   , -   
Dec-23,V1,CV042,PNG005, 48.44 , 190.72 , SQM , 190.72 , -   , 1.00 ," 9,238.10 ", -   , -   
Dec-23,V1,CV042,PNG006, 16.15 , 148.64 , SQM , 148.64 , -   , 1.00 ," 2,400.54 ", -   , -   
Dec-23,V1,CV042,PNG007, 48.44 , 758.48 , SQM , 758.48 , -   , 1.00 ," 36,739.25 ", -   , -   
Dec-23,V1,CV042,PNG008, 16.15 , 758.48 , SQM , 758.48 , -   , 1.00 ," 12,249.45 ", -   , -   
Dec-23,V1,CV042,PNG009, 26.91 , 758.48 , SQM , 758.48 , -   , 1.00 ," 20,410.70 ", -   , -   
Dec-23,V1,CV022,FOG001, 301.39 , 20.60 , SQM , 20.60 , -   , 1.00 ," 6,208.68 ", -   , -   
Dec-23,V1,CV022,FOG002, 450.00 , 23.00 , NOS , 23.00 , -   , 1.00 ," 10,350.00 ", -   , -   
Dec-23,V1,CV022,FOG003, 82.00 , 44.74 , RMT , 44.74 , 0.00 , 1.00 ," 3,668.68 ", -   , -   
Dec-23,V1,CV022,FOG004, 32.80 , 120.00 , RMT , 120.00 , -   , 1.00 ," 3,936.00 ", -   , -   
Dec-23,V1,CV022,FOG005, 131.20 , 24.00 , RMT , 24.00 , -   , 1.00 ," 3,148.80 ", -   , -   
Dec-23,V1,CV022,FOG006," 1,000.00 ", 6.00 , NOS , 5.00 , 1.00 , 0.83 ," 5,000.00 ", -   , -   
Dec-23,V1,CV022,FOG007, 183.00 , 94.02 , SQM , 94.02 , -   , 1.00 ," 17,205.66 ", -   , -   
Dec-23,V1,CV022,FOG008, 49.20 , 72.12 , RMT , 72.12 , 0.00 , 1.00 ," 3,548.30 ", -   , -   
Dec-23,V1,CV022,FOG009, 183.00 , 101.36 , SQM , 101.36 , -   , 1.00 ," 18,548.88 ", -   , -   
Dec-23,V1,CV022,FOG010, 49.20 , 83.36 , RMT , 83.36 , -   , 1.00 ," 4,101.31 ", -   , -   
Dec-23,V1,CV022,FOG011, 183.00 , 3.70 , SQM , 3.70 , -0.00 , 1.00 , 677.10 , -   , -   
Dec-23,V1,CV022,FOG012, 49.20 , 5.86 , RMT , 5.86 , -   , 1.00 , 288.31 , -   , -   
Dec-23,V1,CV022,FOG013, 183.00 , 5.13 , SQM , 5.13 , -   , 1.00 , 938.79 , -   , -   
Dec-23,V1,CV022,FOG014, 49.20 , 9.83 , RMT , 9.83 , -   , 1.00 , 483.64 , -   , -   
Dec-23,V1,CV022,FOG015, 183.00 , 28.01 , SQM , 28.01 , 0.00 , 1.00 ," 5,125.83 ", -   , -   
Dec-23,V1,CV022,FOG016, 49.20 , 31.80 , RMT , 31.80 , 0.00 , 1.00 ," 1,564.56 ", -   , -   
Dec-23,V1,CV022,FOG017, 183.00 , 29.24 , SQM , 29.24 , -   , 1.00 ," 5,350.92 ", -   , -   
Dec-23,V1,CV022,FOG018, 2.50 ," 2,180.00 ", SFT ," 2,180.00 ", -   , 1.00 ," 5,450.00 ", -   , -   
Dec-23,V1,CV022,FOG019, 183.00 , 6.26 , SQM , 6.26 , -   , 1.00 ," 1,145.58 ", -   , -   
Dec-23,V1,CV022,FOG020, 183.00 , 31.39 , SQM , 31.39 , -   , 1.00 ," 5,744.37 ", -   , -   
Dec-23,V1,CV022,FOG021, 183.00 , 14.87 , SQM , 14.87 , -   , 1.00 ," 2,721.21 ", -   , -   
Dec-23,V1,CV022,FOG022, 183.00 , 45.07 , SQM , 45.07 , -   , 1.00 ," 8,247.81 ", -   , -   
Dec-23,V1,CV042,DLG001, 64.58 , 247.02 , SQM , 247.02 , -0.00 , 1.00 ," 15,952.55 ", -   , -   
Dec-23,V1,CV036,ETL004," 17,500.00 ", 1.00 , LUMP SUM , 1.00 , -   , 1.00 ," 17,500.00 ", -   , -   
Dec-23,V1,CV036,ETL005," 2,000.00 ", 1.00 , LUMP SUM , 1.00 , -   , 1.00 ," 2,000.00 ", -   , -   
Dec-23,V1,CV023,PMG001," 12,000.00 ", 1.00 , LUMP SUM , 1.00 , -   , 1.00 ," 12,000.00 ", -   , -   
Dec-23,V1,CV023,PMG002," 8,000.00 ", 1.00 , LUMP SUM , 1.00 , -   , 1.00 ," 8,000.00 ", -   , -   
Dec-23,V1,CV023,PMG003, 500.00 , 1.00 , LUMP SUM , 1.00 , -   , 1.00 , 500.00 , -   , -   
Dec-23,V1,CV023,PMG004," 6,000.00 ", 1.00 , LUMP SUM , 1.00 , -   , 1.00 ," 6,000.00 ", -   , -   
Dec-23,V1,CV023,PMG005," 8,000.00 ", 1.00 , LUMP SUM , 1.00 , -   , 1.00 ," 8,000.00 ", -   , -   
Dec-23,V1,CV023,PMG006," 1,800.00 ", 1.00 , LUMP SUM , 1.00 , -   , 1.00 ," 1,800.00 ", -   , -   
Dec-23,V1,CV023,PMG007," 2,000.00 ", 1.00 , LUMP SUM , -   , 1.00 , -   , -   , -   , -   
Dec-23,V1,CV052,FCN001," 5,535.00 ", 36.43 , RMT , 35.35 , 1.08 , 0.97 ," 1,95,662.25 ", -   , -   
Dec-23,V1,CV048,FCN002, 450.00 , 3.00 , NOS , 3.00 , -   , 1.00 ," 1,350.00 ", -   , -   
Dec-23,V1,CV055,ETL006," 18,938.00 ", 1.00 , LUMP SUM , 1.00 , -   , 1.00 ," 18,938.00 ", -   , -   
Dec-23,V1,CV048,PMG008," 1,500.00 ", 1.00 , LUMP SUM , 1.00 , -   , 1.00 ," 1,500.00 ", -   , -   
Dec-23,V1,CV048,FCN003, 450.00 , 12.50 , SFT , 12.50 , -   , 1.00 ," 5,625.00 ", -   , -   
Dec-23,V1,CV048,FCN004, 250.00 , 1.00 , LUMP SUM , 1.00 , -   , 1.00 , 250.00 , -   , -   
Dec-23,V1,CV056,EEL001," 18,000.00 ", 1.00 , LUMP SUM , 1.00 , -   , 1.00 ," 18,000.00 ", -   , -   
Dec-23,V1,CV001,EEL002, 350.00 , 1.00 , LUMP SUM , 1.00 , -   , 1.00 , 350.00 , -   , -   
Dec-23,V1,CV001,EEL003, 350.00 , 1.00 , LUMP SUM , 1.00 , -   , 1.00 , 350.00 , -   , -   
Dec-23,V1,CV001,ATL001, 750.00 , 2.00 , NOS , 2.00 , -   , 1.00 ," 1,500.00 ", -   , -   
Dec-23,V1,CV040,EEL004, 34.00 , 76.53 , RFT , 76.53 , -0.00 , 1.00 ," 2,602.02 ", -   , -   
Dec-23,V1,CV040,EEL005, 77.00 , 27.00 , RFT , 27.00 , -   , 1.00 ," 2,079.00 ", -   , -   
Dec-23,V1,CV040,EEL006, 23.00 , 89.30 , SFT , 89.30 , -   , 1.00 ," 2,053.90 ", -   , -   
Dec-23,V1,CV040,EEL007, 151.00 , 15.00 , RFT , 15.00 , -   , 1.00 ," 2,265.00 ", -   , -   
Dec-23,V1,CV022,EEL008, 350.00 , 1.00 , LUMP SUM , -   , 1.00 , -   , -   , -   , -   
Dec-23,V1,CV046,EEL008, 300.00 , 1.00 , LUMP SUM , 1.00 , -   , 1.00 , 300.00 , -   , -   
Dec-23,V1,CV042,EEL009, 400.00 , 1.00 , LUMP SUM , 1.00 , -   , 1.00 , 400.00 , -   , -   
Dec-23,V1,CV062,ATL002, 290.00 , 193.00 , SQM , 193.00 , -   , 1.00 ," 55,970.00 ", -   , -   
Dec-23,V1,CV047,ATL002, 290.00 , 356.76 , SQM , 356.76 , -   , 1.00 ," 1,03,460.40 ", -   , -   
Dec-23,V1,CV058,CIN001," 16,800.00 ", 1.00 , LUMP SUM , 1.00 , -   , 1.00 ," 16,800.00 ", -   , -   
Dec-23,V1,CV042,RWK001," 3,060.00 ", 1.00 , LUMP SUM , 1.00 , -   , 1.00 ," 3,060.00 ", -   , -   
Dec-23,V1,CV023,CIN002," 1,000.00 ", 1.00 , LUMP SUM , 1.00 , -   , 1.00 ," 1,000.00 ", -   , -   
Dec-23,V1,CV023,CIN003," 2,000.00 ", 1.00 , LUMP SUM , 1.00 , -   , 1.00 ," 2,000.00 ", -   , -   
Dec-23,V1,CV023,CIN004," 2,000.00 ", 1.00 , LUMP SUM , 1.00 , -   , 1.00 ," 2,000.00 ", -   , -   
Dec-23,V1,CV023,CIN005," 1,000.00 ", 1.00 , LUMP SUM , -   , 1.00 , -   , -   , -   , -   
Dec-23,V1,CV023,CIN006," 3,000.00 ", 1.00 , LUMP SUM , 1.00 , -   , 1.00 ," 3,000.00 ", -   , -   
Dec-23,V1,CV036,CIN007," 16,378.80 ", 1.00 , LUMP SUM , 1.00 , -   , 1.00 ," 16,378.80 ", -   , -   
Dec-23,V1,CV023,CIN008," 1,000.00 ", 1.00 , NOS , 1.00 , -   , 1.00 ," 1,000.00 ", -   , -   
Dec-23,V2,CV049,PMY001, 54.00 , 151.12 , SQM , 151.12 , -   , 1.00 ," 8,160.48 ", -   , -   
Dec-23,V2,CV010,PMY002," 4,000.00 ", 1.00 , LUMP SUM , -   , 1.00 , -   , -   , -   , -   
Dec-23,V2,CV010,PMY003, 500.00 , 2.00 , NOS , -   , 2.00 , -   , -   , -   , -   
Dec-23,V2,CV010,EHK001, 211.68 , 165.15 , CUM , 165.15 , -   , 1.00 ," 34,958.95 ", -   , -   
Dec-23,V2,CV010,EHK002, 22.00 , 82.57 , SQM , 82.57 , -   , 1.00 ," 1,816.54 ", -   , -   
Dec-23,V2,CV010,EHK003, 141.12 , 135.32 , CUM , 135.32 , -   , 1.00 ," 19,096.36 ", -   , -   
Dec-23,V2,CV049,EHK004, 211.68 , 9.14 , CUM , 9.14 , -   , 1.00 ," 1,934.76 ", -   , -   
Dec-23,V2,CV049,EHK005, 141.12 , 62.80 , CUM , 62.80 , -   , 1.00 ," 8,862.34 ", -   , -   
Dec-23,V2,CV049,EHK006, 22.00 , 151.12 , SQM , 151.12 , -   , 1.00 ," 3,324.64 ", -   , -   
Dec-23,V2,CV049,EHK007, 141.12 , 15.63 , CUM , -   , 15.63 , -   , -   , -   , -   
Dec-23,V2,CV063,EEL010," 5,500.00 ", 1.00 , LUMP SUM , 1.00 , -   , 1.00 ," 5,500.00 ", -   , -   
Dec-23,V2,CV063,EHK007," 3,000.00 ", 1.00 , LUMP SUM , 1.00 , -   , 1.00 ," 3,000.00 ", -   , -   
Dec-23,V2,CV010,CRG001," 1,000.00 ", 5.68 , CUM , 5.68 , -0.00 , 1.00 ," 5,680.00 ", -   , -   
Dec-23,V2,CV049,CRG002," 1,000.00 ", 4.57 , CUM , 4.57 , -0.00 , 1.00 ," 4,570.00 ", -   , -   
Dec-23,V2,CV049,CRG003," 1,000.00 ", 15.11 , CUM , 15.11 , 0.00 , 1.00 ," 15,110.00 ", -   , -   
Dec-23,V2,CV010,RRT001," 7,500.00 ", 0.65 , MT , 0.65 , -   , 1.00 ," 4,875.00 ", -   , -   
Dec-23,V2,CV010,RRT002," 7,500.00 ", 0.75 , MT , -   , 0.75 , -   , -   , -   , -   
Dec-23,V2,CV049,RRT003," 7,500.00 ", 1.00 , MT , 1.00 , -   , 1.00 ," 7,500.00 ", -   , -   
Dec-23,V2,CV010,RRT004," 7,500.00 ", 0.90 , MT , -   , 0.90 , -   , -   , -   , -   
Dec-23,V2,CV049,RRT005," 7,500.00 ", 2.80 , MT , 2.80 , -   , 1.00 ," 21,000.00 ", -   , -   
Dec-23,V2,CV049,RRT006," 7,500.00 ", 0.18 , MT , -   , 0.18 , -   , -   , -   , -   
Dec-23,V2,CV049,RRT007," 7,500.00 ", 0.18 , MT , 0.18 , -   , 1.00 ," 1,350.00 ", -   , -   
Dec-23,V2,CV010,STG001, 301.39 , 50.12 , SQM , 50.12 , -   , 1.00 ," 15,105.77 ", -   , -   
Dec-23,V2,CV010,STG002, 301.39 , 31.67 , SQM , -   , 31.67 , -   , -   , -   , -   
Dec-23,V2,CV049,STG003, 301.39 , 105.11 , SQM , 105.11 , -   , 1.00 ," 31,679.31 ", -   , -   
Dec-23,V2,CV049,STG004, 301.39 , 59.91 , SQM , 59.91 , -   , 1.00 ," 18,056.39 ", -   , -   
Dec-23,V2,CV049,STG005, 301.39 , 261.41 , SQM , 261.41 , -   , 1.00 ," 78,786.88 ", -   , -   
Dec-23,V2,CV049,STG006, 301.39 , 14.58 , SQM , -   , 14.58 , -   , -   , -   , -   
Dec-23,V2,CV049,STG007, 301.39 , 18.25 , SQM , 18.25 , -   , 1.00 ," 5,500.40 ", -   , -   
Dec-23,V2,CV010,CRG004, 225.00 , 23.29 , CUM , 23.29 , -   , 1.00 ," 5,240.25 ", -   , -   
Dec-23,V2,CV010,CRG005," 1,500.00 ", 2.62 , CUM , -   , 2.62 , -   , -   , -   , -   
Dec-23,V2,CV049,CRG006, 900.00 , 7.41 , CUM , 7.41 , -   , 1.00 ," 6,669.00 ", -   , -   
Dec-23,V2,CV049,CRG007," 2,000.00 ", 3.51 , CUM , 3.51 , -   , 1.00 ," 7,020.00 ", -   , -   
Dec-23,V2,CV049,CRG008, 225.00 , 30.02 , CUM , 30.02 , -0.00 , 1.00 ," 6,754.50 ", -   , -   
Dec-23,V2,CV049,CRG009," 2,000.00 ", 1.77 , CUM , 1.77 , 0.00 , 1.00 ," 3,540.00 ", -   , -   
Dec-23,V2,CV049,CRG010," 1,500.00 ", 0.80 , CUM , 0.80 , -   , 1.00 ," 1,200.00 ", -   , -   
Dec-23,V2,CV036,ETL001," 2,000.00 ", 1.00 , LUMP SUM , 1.00 , -   , 1.00 ," 2,000.00 ", -   , -   
Dec-23,V2,CV049,RRT008," 7,500.00 ", 1.00 , MT , 1.00 , -   , 1.00 ," 7,500.00 ", -   , -   
Dec-23,V2,CV049,RRT009," 7,500.00 ", 2.40 , MT , 2.40 , -   , 1.00 ," 18,000.00 ", -   , -   
Dec-23,V2,CV049,RRT010," 7,500.00 ", 0.18 , MT , -   , 0.18 , -   , -   , -   , -   
Dec-23,V2,CV049,RRT011," 7,500.00 ", 0.20 , MT , 0.20 , -   , 1.00 ," 1,500.00 ", -   , -   
Dec-23,V2,CV049,STG008, 301.39 , 61.40 , SQM , 61.40 , -   , 1.00 ," 18,505.47 ", -   , -   
Dec-23,V2,CV049,STG009, 301.39 , 243.08 , SQM , 243.08 , -   , 1.00 ," 73,262.37 ", -   , -   
Dec-23,V2,CV049,STG010, 301.39 , 14.58 , SQM , -   , 14.58 , -   , -   , -   , -   
Dec-23,V2,CV049,STG011, 301.39 , 20.55 , SQM , 20.55 , -   , 1.00 ," 6,193.61 ", -   , -   
Dec-23,V2,CV049,CRG011," 2,000.00 ", 3.59 , CUM , 3.59 , 0.00 , 1.00 ," 7,180.00 ", -   , -   
Dec-23,V2,CV049,CRG012, 225.00 , 27.11 , CUM , 27.11 , 0.00 , 1.00 ," 6,099.75 ", -   , -   
Dec-23,V2,CV049,CRG013," 2,000.00 ", 1.77 , CUM , -   , 1.77 , -   , -   , -   , -   
Dec-23,V2,CV049,CRG014," 1,500.00 ", 1.28 , CUM , 1.28 , 0.00 , 1.00 ," 1,920.00 ", -   , -   
Dec-23,V2,CV049,RRT012," 7,500.00 ", 0.15 , MT , 0.15 , -   , 1.00 ," 1,125.00 ", -   , -   
Dec-23,V2,CV049,RRT013," 7,500.00 ", 0.25 , MT , 0.25 , -   , 1.00 ," 1,875.00 ", -   , -   
Dec-23,V2,CV049,RRT014," 7,500.00 ", 0.04 , MT , 0.04 , -   , 1.00 , 300.00 , -   , -   
Dec-23,V2,CV049,STG012, 301.39 , 8.10 , SQM , 8.10 , -   , 1.00 ," 2,441.28 ", -   , -   
Dec-23,V2,CV049,STG013, 301.39 , 29.38 , SQM , 29.38 , -   , 1.00 ," 8,854.90 ", -   , -   
Dec-23,V2,CV049,STG014, 301.39 , 3.81 , SQM , 3.81 , -   , 1.00 ," 1,148.30 ", -   , -   
Dec-23,V2,CV049,CRG015," 2,000.00 ", 0.61 , CUM , 0.61 , -   , 1.00 ," 1,220.00 ", -   , -   
Dec-23,V2,CV049,CRG016, 225.00 , 2.83 , CUM , 2.83 , 0.00 , 1.00 , 636.75 , -   , -   
Dec-23,V2,CV049,CRG016," 1,500.00 ", 0.22 , CUM , 0.22 , -   , 1.00 , 330.00 , -   , -   
